Austin Peay - Ivan Cucak,"['5/8', '2/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Evan Wiley,"['22/74', '7/18', '1/5', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Brandon Houston,"['7/22', '2/5', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Tre Todd,"['24/55', '7/19', '3/6', '0/3', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Alabama A&M - Brandon Miller,"['32/106', '10/29', '1/6', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Austin Peay - Chris Porter-Bunton,"['46/100', '13/41', '8/10', '3/6', '2/2', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Trey Moses,"['12/41', '1/8', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Tayler Persons,"['66/202', '23/61', '12/22', '3/9', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - Camron Justice,"['75/210', '25/71', '9/22', '3/8', '1/3', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0']"
Ball State - K.J. Walton,"['30/83', '12/26', '3/7', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - Jaylen Minnett,"['75/213', '18/71', '6/17', '0/5', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - D.J. McCall,"['12/59', '4/9', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Tahjai Teague,"['31/102', '9/21', '2/7', '1/2', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Zach Gunn,"['25/67', '5/18', '1/4', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - Grant Weatherford,"['14/33', '3/10', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Kyle Mallers,"['35/108', '12/34', '3/10', '1/3', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - Evan Hall,"['22/60', '4/15', '1/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Brachen Hazen,"['7/16', '2/5', '1/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - Elyjah Goss,"['10/36', '2/6', '1/1', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Ball State - Ishmael El-Amin,"['21/52', '5/14', '1/5', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
IUPUI - Jack Hansen,"['15/39', '2/11', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Dexter Dennis,"['40/113', '10/34', '5/8', '2/4', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - King McClure,"['43/118', '14/39', '3/13', '2/2', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Markis McDuffie,"['85/227', '18/82', '8/17', '2/7', '2/2', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Ricky Torres,"['18/61', '2/10', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Samajae Haynes-Jones,"['66/226', '19/59', '6/15', '2/6', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - Tristan Clark,"['14/26', '6/9', '1/5', '1/1', '1/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - Mario Kegler,"['28/101', '10/23', '6/9', '2/5', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Erik Stevenson,"['35/128', '7/29', '4/7', '2/4', '1/2', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - Makai Mason,"['67/165', '20/61', '8/19', '2/7', '1/1', '1/1', '1/1', '0/1', '0/0', '0/0', '0/0']"
Baylor - Devonte Bandoo,"['45/121', '15/37', '4/13', '2/3', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - Jared Butler,"['56/156', '17/51', '4/17', '0/2', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Baylor - Matthew Mayer,"['31/84', '7/26', '0/6', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
Wichita State - Rod Brown,"['3/17', '0/1', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0', '0/0']"
