0:36, Gardner-Webb, David Efianayi, Three Point Jumper, 75, 75,360
1:39, Gardner-Webb, David Efianayi, Steal, 22, 21,84
2:07, Gardner-Webb, David Efianayi, Layup, 77, 82,45
1:44, Gardner-Webb, David Efianayi, Layup, 68, 72,45
0:46, Gardner-Webb, David Efianayi, Jumper, 68, 74,100
0:28, Gardner-Webb, David Efianayi, Free Throw, 68, 75,60
0:28, Gardner-Webb, David Efianayi, Free Throw, 68, 76,60
0:31, Gardner-Webb, David Efianayi, Free Throw, 36, 34,100
0:31, Gardner-Webb, David Efianayi, Free Throw, 37, 34,75
0:29, Gardner-Webb, David Efianayi, Layup, 41, 39,120
0:10, Gardner-Webb, David Efianayi, Free Throw, 88, 90,180
0:10, Gardner-Webb, David Efianayi, Free Throw, 89, 90,180
0:10, Gardner-Webb, David Efianayi, Free Throw, 90, 90,120
1:20, Gardner-Webb, David Efianayi, Free Throw, 56, 62,40
1:20, Gardner-Webb, David Efianayi, Free Throw, 56, 63,40
1:03, Gardner-Webb, David Efianayi, Layup, 29, 37,60
2:37, Gardner-Webb, David Efianayi, Layup, 67, 68,20
1:52, Gardner-Webb, David Efianayi, Free Throw, 67, 69,60
1:52, Gardner-Webb, David Efianayi, Free Throw, 67, 70,45
0:14, Gardner-Webb, David Efianayi, Block, 70, 70,180
1:07, Gardner-Webb, David Efianayi, Layup, 74, 85,20
2:51, Gardner-Webb, David Efianayi, Jumper, 74, 85,15
1:45, Gardner-Webb, David Efianayi, Three Point Jumper, 82, 91,54
0:53, Gardner-Webb, David Efianayi, Jumper, 88, 95,150
1:19, Gardner-Webb, David Efianayi, Three Point Jumper, 33, 32,288
0:16, Gardner-Webb, David Efianayi, Free Throw, 62, 68,60
0:07, Gardner-Webb, David Efianayi, Free Throw, 64, 69,90
0:32, Gardner-Webb, David Efianayi, Layup, 32, 25,50
0:48, Gardner-Webb, David Efianayi, Three Point Jumper, 59, 65,180
2:22, Gardner-Webb, David Efianayi, Three Point Jumper, 65, 56,24
2:00, Gardner-Webb, David Efianayi, Steal, 65, 56,21
1:52, Gardner-Webb, David Efianayi, Free Throw, 66, 56,15
1:52, Gardner-Webb, David Efianayi, Free Throw, 67, 56,15
1:30, Gardner-Webb, David Efianayi, Free Throw, 68, 58,20
1:30, Gardner-Webb, David Efianayi, Free Throw, 69, 58,20
0:02, Gardner-Webb, David Efianayi, Free Throw, 21, 32,30
2:45, Gardner-Webb, David Efianayi, Three Point Jumper, 36, 25,12
2:23, Gardner-Webb, David Efianayi, Free Throw, 21, 30,10
