Minnesota, 78,
SMU, 78,
Charleston, 79,
Michigan State, 79,
Fairleigh Dickinson, 80,
Loyola (MD), 80,
Jacksonville, 80,
CSU Northridge, 81,
Depaul, 81,
William & Mary, 82,
Louisville, 83,
Kansas, 84,
NC State, 85,
"St. Johns", 86,
Northeastern, 87,
Duquesne, 87,
Penn State, 88,
Houston, 89,
Georgia Southern, 89,
Little Rock, 90,
Georgia Tech, 90,
Baylor, 93,
Vanderbilt, 94,
Western Kentucky, 95,
Yale, 95,
Washington, 95,
Buffalo, 96,
Texas Tech, 100,
Villanova, 102,
North Carolina, 102,
Virginia, 103,
Maryland, 104,
Marshall, 105,
Texas A&M, 107,
TCU, 108,
Nevada, 109,
Michigan, 109,
Georgia, 110,
Alabama, 110,
Eastern Michigan, 111,
Kentucky, 116,
Tennessee, 116,
Dayton, 117,
Auburn, 118,
Mississippi State, 121,
Texas, 122,
UCF, 127,
Stanford, 131,
Arkansas, 132,
Gonzaga, 133,
Murray State, 133,
Arizona State, 134,
UCLA, 142,
Xavier, 148,
LSU, 168,
Florida State, 185,
Duke, 188
